uniprot_id	elm	kegg_id	kegg_name
O00716	DOC_CYCLIN_RXL_1	hsa05220	Chronic myeloid leukemia 
O00716	DOC_CYCLIN_RXL_1	hsa05222	Small cell lung cancer 
O00716	DOC_CYCLIN_RXL_1	hsa05223	Non small cell lung cancer 
O08838	LIG_AP2alpha_1	rno04144	Endocytosis 
O08838	LIG_AP2alpha_2	rno04144	Endocytosis 
O08838	LIG_AP2alpha_1	rno04666	Fc gamma R mediated phagocytosis 
O08838	LIG_AP2alpha_2	rno04666	Fc gamma R mediated phagocytosis 
O13286	DEG_APCC_TPR_1	spo04111	Cell cycle   yeast 
O13286	DEG_APCC_TPR_1	spo04120	Ubiquitin mediated proteolysis 
O14672	TRG_ER_diArg_1	hsa05010	Alzheimer's disease 
O14672	TRG_ER_diArg_1	hsa05120	Epithelial cell signaling in Helicobacter pylori infection 
O14686	LIG_KEPE_1	hsa00310	Lysine degradation 
O14686	LIG_WD40_WDR5_WIN_1	hsa00310	Lysine degradation 
O14746	MOD_PKB_1	hsa05166	HTLV I infection 
O14757	LIG_BIR_III_1	hsa04110	Cell cycle 
O14757	MOD_PIKK_1	hsa04110	Cell cycle 
O14757	LIG_BIR_III_1	hsa04115	p53 signaling pathway 
O14757	MOD_PIKK_1	hsa04115	p53 signaling pathway 
O14757	LIG_BIR_III_1	hsa05166	HTLV I infection 
O14757	MOD_PIKK_1	hsa05166	HTLV I infection 
O14757	LIG_BIR_III_1	hsa05203	Viral carcinogenesis 
O14757	MOD_PIKK_1	hsa05203	Viral carcinogenesis 
O14920	DEG_Kelch_Keap1_1	hsa04010	MAPK signaling pathway 
O14920	MOD_Plk_1	hsa04010	MAPK signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04014	Ras signaling pathway 
O14920	MOD_Plk_1	hsa04014	Ras signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04062	Chemokine signaling pathway 
O14920	MOD_Plk_1	hsa04062	Chemokine signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04064	NF kappa B signaling pathway 
O14920	MOD_Plk_1	hsa04064	NF kappa B signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04068	FoxO signaling pathway 
O14920	MOD_Plk_1	hsa04068	FoxO signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04150	mTOR signaling pathway 
O14920	MOD_Plk_1	hsa04150	mTOR signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04151	PI3K Akt signaling pathway 
O14920	MOD_Plk_1	hsa04151	PI3K Akt signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04210	Apoptosis 
O14920	MOD_Plk_1	hsa04210	Apoptosis 
O14920	DEG_Kelch_Keap1_1	hsa04380	Osteoclast differentiation 
O14920	MOD_Plk_1	hsa04380	Osteoclast differentiation 
O14920	DEG_Kelch_Keap1_1	hsa04620	Toll like receptor signaling pathway 
O14920	MOD_Plk_1	hsa04620	Toll like receptor signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04621	NOD like receptor signaling pathway 
O14920	MOD_Plk_1	hsa04621	NOD like receptor signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04622	RIG I like receptor signaling pathway 
O14920	MOD_Plk_1	hsa04622	RIG I like receptor signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04623	Cytosolic DNA sensing pathway 
O14920	MOD_Plk_1	hsa04623	Cytosolic DNA sensing pathway 
O14920	DEG_Kelch_Keap1_1	hsa04660	T cell receptor signaling pathway 
O14920	MOD_Plk_1	hsa04660	T cell receptor signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04662	B cell receptor signaling pathway 
O14920	MOD_Plk_1	hsa04662	B cell receptor signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04668	TNF signaling pathway 
O14920	MOD_Plk_1	hsa04668	TNF signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04722	Neurotrophin signaling pathway 
O14920	MOD_Plk_1	hsa04722	Neurotrophin signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04910	Insulin signaling pathway 
O14920	MOD_Plk_1	hsa04910	Insulin signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04920	Adipocytokine signaling pathway 
O14920	MOD_Plk_1	hsa04920	Adipocytokine signaling pathway 
O14920	DEG_Kelch_Keap1_1	hsa04930	Type II diabetes mellitus 
O14920	MOD_Plk_1	hsa04930	Type II diabetes mellitus 
O14920	DEG_Kelch_Keap1_1	hsa04932	Non alcoholic fatty liver disease (NAFLD) 
O14920	MOD_Plk_1	hsa04932	Non alcoholic fatty liver disease (NAFLD) 
O14920	DEG_Kelch_Keap1_1	hsa05120	Epithelial cell signaling in Helicobacter pylori infection 
O14920	MOD_Plk_1	hsa05120	Epithelial cell signaling in Helicobacter pylori infection 
O14920	DEG_Kelch_Keap1_1	hsa05131	Shigellosis 
O14920	MOD_Plk_1	hsa05131	Shigellosis 
O14920	DEG_Kelch_Keap1_1	hsa05142	Chagas disease (American trypanosomiasis) 
O14920	MOD_Plk_1	hsa05142	Chagas disease (American trypanosomiasis) 
O14920	DEG_Kelch_Keap1_1	hsa05145	Toxoplasmosis 
O14920	MOD_Plk_1	hsa05145	Toxoplasmosis 
O14920	DEG_Kelch_Keap1_1	hsa05160	Hepatitis C 
O14920	MOD_Plk_1	hsa05160	Hepatitis C 
O14920	DEG_Kelch_Keap1_1	hsa05161	Hepatitis B 
O14920	MOD_Plk_1	hsa05161	Hepatitis B 
O14920	DEG_Kelch_Keap1_1	hsa05164	Influenza A 
O14920	MOD_Plk_1	hsa05164	Influenza A 
O14920	DEG_Kelch_Keap1_1	hsa05166	HTLV I infection 
O14920	MOD_Plk_1	hsa05166	HTLV I infection 
O14920	DEG_Kelch_Keap1_1	hsa05168	Herpes simplex infection 
O14920	MOD_Plk_1	hsa05168	Herpes simplex infection 
O14920	DEG_Kelch_Keap1_1	hsa05169	Epstein Barr virus infection 
O14920	MOD_Plk_1	hsa05169	Epstein Barr virus infection 
O14920	DEG_Kelch_Keap1_1	hsa05200	Pathways in cancer 
O14920	MOD_Plk_1	hsa05200	Pathways in cancer 
O14920	DEG_Kelch_Keap1_1	hsa05206	MicroRNAs in cancer 
O14920	MOD_Plk_1	hsa05206	MicroRNAs in cancer 
O14920	DEG_Kelch_Keap1_1	hsa05212	Pancreatic cancer 
O14920	MOD_Plk_1	hsa05212	Pancreatic cancer 
O14920	DEG_Kelch_Keap1_1	hsa05215	Prostate cancer 
O14920	MOD_Plk_1	hsa05215	Prostate cancer 
O14920	DEG_Kelch_Keap1_1	hsa05220	Chronic myeloid leukemia 
O14920	MOD_Plk_1	hsa05220	Chronic myeloid leukemia 
O14920	DEG_Kelch_Keap1_1	hsa05221	Acute myeloid leukemia 
O14920	MOD_Plk_1	hsa05221	Acute myeloid leukemia 
O14920	DEG_Kelch_Keap1_1	hsa05222	Small cell lung cancer 
O14920	MOD_Plk_1	hsa05222	Small cell lung cancer 
O14964	LIG_PTAP_UEV_1	hsa04144	Endocytosis 
O14964	LIG_PTAP_UEV_1	hsa04145	Phagosome 
O14965	DEG_APCC_DBOX_1	hsa04114	Oocyte meiosis 
O14974	DOC_PP1_MyPhoNE_1	hsa04022	cGMP PKG signaling pathway 
O14974	DOC_PP1_RVXF_1	hsa04022	cGMP PKG signaling pathway 
O14974	DOC_PP1_MyPhoNE_1	hsa04024	cAMP signaling pathway 
O14974	DOC_PP1_RVXF_1	hsa04024	cAMP signaling pathway 
O14974	DOC_PP1_MyPhoNE_1	hsa04270	Vascular smooth muscle contraction 
O14974	DOC_PP1_RVXF_1	hsa04270	Vascular smooth muscle contraction 
O14974	DOC_PP1_MyPhoNE_1	hsa04510	Focal adhesion 
O14974	DOC_PP1_RVXF_1	hsa04510	Focal adhesion 
O14974	DOC_PP1_MyPhoNE_1	hsa04611	Platelet activation 
O14974	DOC_PP1_RVXF_1	hsa04611	Platelet activation 
O14974	DOC_PP1_MyPhoNE_1	hsa04810	Regulation of actin cytoskeleton 
O14974	DOC_PP1_RVXF_1	hsa04810	Regulation of actin cytoskeleton 
O14974	DOC_PP1_MyPhoNE_1	hsa04921	Oxytocin signaling pathway 
O14974	DOC_PP1_RVXF_1	hsa04921	Oxytocin signaling pathway 
O14974	DOC_PP1_MyPhoNE_1	hsa05205	Proteoglycans in cancer 
O14974	DOC_PP1_RVXF_1	hsa05205	Proteoglycans in cancer 
O15047	LIG_WD40_WDR5_WIN_1	hsa00310	Lysine degradation 
O15111	MOD_PKB_1	hsa04010	MAPK signaling pathway 
O15111	MOD_PKB_1	hsa04014	Ras signaling pathway 
O15111	MOD_PKB_1	hsa04062	Chemokine signaling pathway 
O15111	MOD_PKB_1	hsa04064	NF kappa B signaling pathway 
O15111	MOD_PKB_1	hsa04068	FoxO signaling pathway 
O15111	MOD_PKB_1	hsa04151	PI3K Akt signaling pathway 
O15111	MOD_PKB_1	hsa04210	Apoptosis 
O15111	MOD_PKB_1	hsa04380	Osteoclast differentiation 
O15111	MOD_PKB_1	hsa04620	Toll like receptor signaling pathway 
O15111	MOD_PKB_1	hsa04621	NOD like receptor signaling pathway 
O15111	MOD_PKB_1	hsa04622	RIG I like receptor signaling pathway 
O15111	MOD_PKB_1	hsa04623	Cytosolic DNA sensing pathway 
O15111	MOD_PKB_1	hsa04660	T cell receptor signaling pathway 
O15111	MOD_PKB_1	hsa04662	B cell receptor signaling pathway 
O15111	MOD_PKB_1	hsa04668	TNF signaling pathway 
O15111	MOD_PKB_1	hsa04920	Adipocytokine signaling pathway 
O15111	MOD_PKB_1	hsa05120	Epithelial cell signaling in Helicobacter pylori infection 
O15111	MOD_PKB_1	hsa05131	Shigellosis 
O15111	MOD_PKB_1	hsa05142	Chagas disease (American trypanosomiasis) 
O15111	MOD_PKB_1	hsa05145	Toxoplasmosis 
O15111	MOD_PKB_1	hsa05160	Hepatitis C 
O15111	MOD_PKB_1	hsa05161	Hepatitis B 
O15111	MOD_PKB_1	hsa05162	Measles 
O15111	MOD_PKB_1	hsa05166	HTLV I infection 
O15111	MOD_PKB_1	hsa05168	Herpes simplex infection 
O15111	MOD_PKB_1	hsa05169	Epstein Barr virus infection 
O15111	MOD_PKB_1	hsa05200	Pathways in cancer 
O15111	MOD_PKB_1	hsa05212	Pancreatic cancer 
O15111	MOD_PKB_1	hsa05215	Prostate cancer 
O15111	MOD_PKB_1	hsa05220	Chronic myeloid leukemia 
O15111	MOD_PKB_1	hsa05221	Acute myeloid leukemia 
O15111	MOD_PKB_1	hsa05222	Small cell lung cancer 
O15117	LIG_EVH1_1	hsa04015	Rap1 signaling pathway 
O15118	TRG_LysEnd_APsAcLL_1	hsa04142	Lysosome 
O15151	DOC_USP7_MATH_1	hsa04115	p53 signaling pathway 
O15151	LIG_14-3-3_CanoR_1	hsa04115	p53 signaling pathway 
O15151	MOD_CK1_1	hsa04115	p53 signaling pathway 
O15151	MOD_PIKK_1	hsa04115	p53 signaling pathway 
O15151	DOC_USP7_MATH_1	hsa05206	MicroRNAs in cancer 
O15151	LIG_14-3-3_CanoR_1	hsa05206	MicroRNAs in cancer 
O15151	MOD_CK1_1	hsa05206	MicroRNAs in cancer 
O15151	MOD_PIKK_1	hsa05206	MicroRNAs in cancer 
O15169	DOC_ANK_TNKS_1	hsa04310	Wnt signaling pathway 
O15169	DOC_GSK3_Axin_1	hsa04310	Wnt signaling pathway 
O15169	DOC_PP2A_B56_1	hsa04310	Wnt signaling pathway 
O15169	MOD_SUMO_for_1	hsa04310	Wnt signaling pathway 
O15169	DOC_ANK_TNKS_1	hsa04390	Hippo signaling pathway 
O15169	DOC_GSK3_Axin_1	hsa04390	Hippo signaling pathway 
O15169	DOC_PP2A_B56_1	hsa04390	Hippo signaling pathway 
O15169	MOD_SUMO_for_1	hsa04390	Hippo signaling pathway 
O15169	DOC_ANK_TNKS_1	hsa04550	Signaling pathways regulating pluripotency of stem cells 
O15169	DOC_GSK3_Axin_1	hsa04550	Signaling pathways regulating pluripotency of stem cells 
O15169	DOC_PP2A_B56_1	hsa04550	Signaling pathways regulating pluripotency of stem cells 
O15169	MOD_SUMO_for_1	hsa04550	Signaling pathways regulating pluripotency of stem cells 
O15169	DOC_ANK_TNKS_1	hsa05200	Pathways in cancer 
O15169	DOC_GSK3_Axin_1	hsa05200	Pathways in cancer 
O15169	DOC_PP2A_B56_1	hsa05200	Pathways in cancer 
O15169	MOD_SUMO_for_1	hsa05200	Pathways in cancer 
O15169	DOC_ANK_TNKS_1	hsa05210	Colorectal cancer 
O15169	DOC_GSK3_Axin_1	hsa05210	Colorectal cancer 
O15169	DOC_PP2A_B56_1	hsa05210	Colorectal cancer 
O15169	MOD_SUMO_for_1	hsa05210	Colorectal cancer 
O15169	DOC_ANK_TNKS_1	hsa05213	Endometrial cancer 
O15169	DOC_GSK3_Axin_1	hsa05213	Endometrial cancer 
O15169	DOC_PP2A_B56_1	hsa05213	Endometrial cancer 
O15169	MOD_SUMO_for_1	hsa05213	Endometrial cancer 
O15169	DOC_ANK_TNKS_1	hsa05217	Basal cell carcinoma 
O15169	DOC_GSK3_Axin_1	hsa05217	Basal cell carcinoma 
O15169	DOC_PP2A_B56_1	hsa05217	Basal cell carcinoma 
O15169	MOD_SUMO_for_1	hsa05217	Basal cell carcinoma 
O15234	DOC_ANK_TNKS_1	hsa03013	RNA transport 
O15234	DOC_ANK_TNKS_1	hsa03015	mRNA surveillance pathway 
O15350	DEG_MDM2_SWIB_1	hsa04115	p53 signaling pathway 
O15350	DOC_WW_Pin1_4	hsa04115	p53 signaling pathway 
O15350	LIG_SH3_3	hsa04115	p53 signaling pathway 
O15350	LIG_WW_1	hsa04115	p53 signaling pathway 
O15350	TRG_NES_CRM1_1	hsa04115	p53 signaling pathway 
O15350	TRG_NLS_Bipartite_1	hsa04115	p53 signaling pathway 
O15350	DEG_MDM2_SWIB_1	hsa04390	Hippo signaling pathway 
O15350	DOC_WW_Pin1_4	hsa04390	Hippo signaling pathway 
O15350	LIG_SH3_3	hsa04390	Hippo signaling pathway 
O15350	LIG_WW_1	hsa04390	Hippo signaling pathway 
O15350	TRG_NES_CRM1_1	hsa04390	Hippo signaling pathway 
O15350	TRG_NLS_Bipartite_1	hsa04390	Hippo signaling pathway 
O15350	DEG_MDM2_SWIB_1	hsa04722	Neurotrophin signaling pathway 
O15350	DOC_WW_Pin1_4	hsa04722	Neurotrophin signaling pathway 
O15350	LIG_SH3_3	hsa04722	Neurotrophin signaling pathway 
O15350	LIG_WW_1	hsa04722	Neurotrophin signaling pathway 
O15350	TRG_NES_CRM1_1	hsa04722	Neurotrophin signaling pathway 
O15350	TRG_NLS_Bipartite_1	hsa04722	Neurotrophin signaling pathway 
O15350	DEG_MDM2_SWIB_1	hsa05162	Measles 
O15350	DOC_WW_Pin1_4	hsa05162	Measles 
O15350	LIG_SH3_3	hsa05162	Measles 
O15350	LIG_WW_1	hsa05162	Measles 
O15350	TRG_NES_CRM1_1	hsa05162	Measles 
O15350	TRG_NLS_Bipartite_1	hsa05162	Measles 
O15392	MOD_PKA_2	hsa04390	Hippo signaling pathway 
O15392	MOD_PKA_2	hsa05161	Hepatitis B 
O15392	MOD_PKA_2	hsa05200	Pathways in cancer 
O15392	MOD_PKA_2	hsa05210	Colorectal cancer 
O15527	TRG_NLS_MonoExtN_4	hsa03410	Base excision repair 
O24407	DEG_SCF_TIR1_1	ath04075	Plant hormone signal transduction 
O24408	DEG_SCF_TIR1_1	ath04075	Plant hormone signal transduction 
O24409	DEG_SCF_TIR1_1	ath04075	Plant hormone signal transduction 
O24646	DEG_COP1_1	ath04712	Circadian rhythm   plant 
O35147	LIG_14-3-3_CanoR_1	rno04012	ErbB signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno04014	Ras signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno04022	cGMP PKG signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno04024	cAMP signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno04151	PI3K Akt signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno04210	Apoptosis 
O35147	LIG_14-3-3_CanoR_1	rno04370	VEGF signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno04510	Focal adhesion 
O35147	LIG_14-3-3_CanoR_1	rno04722	Neurotrophin signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno04910	Insulin signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno04919	Thyroid hormone signaling pathway 
O35147	LIG_14-3-3_CanoR_1	rno05010	Alzheimer's disease 
O35147	LIG_14-3-3_CanoR_1	rno05014	Amyotrophic lateral sclerosis (ALS) 
O35147	LIG_14-3-3_CanoR_1	rno05145	Toxoplasmosis 
O35147	LIG_14-3-3_CanoR_1	rno05152	Tuberculosis 
O35147	LIG_14-3-3_CanoR_1	rno05160	Hepatitis C 
O35147	LIG_14-3-3_CanoR_1	rno05161	Hepatitis B 
O35147	LIG_14-3-3_CanoR_1	rno05200	Pathways in cancer 
O35147	LIG_14-3-3_CanoR_1	rno05203	Viral carcinogenesis 
O35147	LIG_14-3-3_CanoR_1	rno05210	Colorectal cancer 
O35147	LIG_14-3-3_CanoR_1	rno05212	Pancreatic cancer 
O35147	LIG_14-3-3_CanoR_1	rno05213	Endometrial cancer 
O35147	LIG_14-3-3_CanoR_1	rno05215	Prostate cancer 
O35147	LIG_14-3-3_CanoR_1	rno05218	Melanoma 
O35147	LIG_14-3-3_CanoR_1	rno05220	Chronic myeloid leukemia 
O35147	LIG_14-3-3_CanoR_1	rno05221	Acute myeloid leukemia 
O35147	LIG_14-3-3_CanoR_1	rno05223	Non small cell lung cancer 
O35303	DOC_PP2B_LxvP_1	rno04668	TNF signaling pathway 
O35305	LIG_TRAF6	mmu04060	Cytokine cytokine receptor interaction 
O35305	LIG_TRAF6	mmu04064	NF kappa B signaling pathway 
O35305	LIG_TRAF6	mmu04380	Osteoclast differentiation 
O35305	LIG_TRAF6	mmu04917	Prolactin signaling pathway 
O35305	LIG_TRAF6	mmu05323	Rheumatoid arthritis 
O35464	LIG_EVH1_1	mmu04360	Axon guidance 
O35550	LIG_AP_GAE_1	rno04144	Endocytosis 
O35973	TRG_NES_CRM1_1	mmu04710	Circadian rhythm 
O35973	TRG_NES_CRM1_1	mmu04713	Circadian entrainment 
O35973	TRG_NES_CRM1_1	mmu05168	Herpes simplex infection 
O42400	DOC_GSK3_Axin_1	gga04310	Wnt signaling pathway 
O43187	LIG_TRAF6	hsa04210	Apoptosis 
O43187	LIG_TRAF6	hsa04722	Neurotrophin signaling pathway 
O43187	LIG_TRAF6	hsa05152	Tuberculosis 
O43292	TRG_ER_diArg_1	hsa00563	Glycosylphosphatidylinositol(GPI) anchor biosynthesis 
O43292	TRG_ER_diArg_1	hsa01100	Metabolic pathways 
O43353	DOC_MAPK_MEF2A_6	hsa04621	NOD like receptor signaling pathway 
O43353	DOC_MAPK_NFAT4_5	hsa04621	NOD like receptor signaling pathway 
O43353	LIG_TRAF6	hsa04621	NOD like receptor signaling pathway 
O43353	DOC_MAPK_MEF2A_6	hsa04722	Neurotrophin signaling pathway 
O43353	DOC_MAPK_NFAT4_5	hsa04722	Neurotrophin signaling pathway 
O43353	LIG_TRAF6	hsa04722	Neurotrophin signaling pathway 
O43353	DOC_MAPK_MEF2A_6	hsa05131	Shigellosis 
O43353	DOC_MAPK_NFAT4_5	hsa05131	Shigellosis 
O43353	LIG_TRAF6	hsa05131	Shigellosis 
O43353	DOC_MAPK_MEF2A_6	hsa05152	Tuberculosis 
O43353	DOC_MAPK_NFAT4_5	hsa05152	Tuberculosis 
O43353	LIG_TRAF6	hsa05152	Tuberculosis 
O43426	LIG_AP2alpha_2	hsa00562	Inositol phosphate metabolism 
O43426	LIG_EH_1	hsa00562	Inositol phosphate metabolism 
O43426	LIG_AP2alpha_2	hsa01100	Metabolic pathways 
O43426	LIG_EH_1	hsa01100	Metabolic pathways 
O43426	LIG_AP2alpha_2	hsa04070	Phosphatidylinositol signaling system 
O43426	LIG_EH_1	hsa04070	Phosphatidylinositol signaling system 
O43432	LIG_eIF4E_1	hsa03013	RNA transport 
O43432	LIG_eIF4E_1	hsa05416	Viral myocarditis 
O43516	LIG_Actin_WH2_1	hsa04144	Endocytosis 
O43516	LIG_EVH1_3	hsa04144	Endocytosis 
O43516	LIG_WH1	hsa04144	Endocytosis 
O43521	LIG_Dynein_DLC8_1	hsa04068	FoxO signaling pathway 
O43521	LIG_Dynein_DLC8_1	hsa04151	PI3K Akt signaling pathway 
O43521	LIG_Dynein_DLC8_1	hsa04932	Non alcoholic fatty liver disease (NAFLD) 
O43521	LIG_Dynein_DLC8_1	hsa05206	MicroRNAs in cancer 
O43524	DOC_PP2A_B56_1	hsa04062	Chemokine signaling pathway 
O43524	LIG_14-3-3_CanoR_1	hsa04062	Chemokine signaling pathway 
O43524	DOC_PP2A_B56_1	hsa04068	FoxO signaling pathway 
O43524	LIG_14-3-3_CanoR_1	hsa04068	FoxO signaling pathway 
O43524	DOC_PP2A_B56_1	hsa04151	PI3K Akt signaling pathway 
O43524	LIG_14-3-3_CanoR_1	hsa04151	PI3K Akt signaling pathway 
O43524	DOC_PP2A_B56_1	hsa04152	AMPK signaling pathway 
O43524	LIG_14-3-3_CanoR_1	hsa04152	AMPK signaling pathway 
O43524	DOC_PP2A_B56_1	hsa04722	Neurotrophin signaling pathway 
O43524	LIG_14-3-3_CanoR_1	hsa04722	Neurotrophin signaling pathway 
O43524	DOC_PP2A_B56_1	hsa04917	Prolactin signaling pathway 
O43524	LIG_14-3-3_CanoR_1	hsa04917	Prolactin signaling pathway 
O43524	DOC_PP2A_B56_1	hsa05213	Endometrial cancer 
O43524	LIG_14-3-3_CanoR_1	hsa05213	Endometrial cancer 
O43524	DOC_PP2A_B56_1	hsa05223	Non small cell lung cancer 
O43524	LIG_14-3-3_CanoR_1	hsa05223	Non small cell lung cancer 
O43613	LIG_TYR_ITIM	hsa04080	Neuroactive ligand receptor interaction 
O43613	LIG_TYR_ITSM	hsa04080	Neuroactive ligand receptor interaction 
O43711	LIG_HOMEOBOX	hsa05202	Transcriptional misregulation in cancer 
O43889	LIG_HCF-1_HBM_1	hsa04022	cGMP PKG signaling pathway 
O43889	LIG_HCF-1_HBM_1	hsa04024	cAMP signaling pathway 
O43889	LIG_HCF-1_HBM_1	hsa04151	PI3K Akt signaling pathway 
O43889	LIG_HCF-1_HBM_1	hsa04152	AMPK signaling pathway 
O43889	LIG_HCF-1_HBM_1	hsa04261	Adrenergic signaling in cardiomyocytes 
O43889	LIG_HCF-1_HBM_1	hsa04668	TNF signaling pathway 
O43889	LIG_HCF-1_HBM_1	hsa04725	Cholinergic synapse 
O43889	LIG_HCF-1_HBM_1	hsa04728	Dopaminergic synapse 
O43889	LIG_HCF-1_HBM_1	hsa04911	Insulin secretion 
O43889	LIG_HCF-1_HBM_1	hsa04915	Estrogen signaling pathway 
O43889	LIG_HCF-1_HBM_1	hsa04916	Melanogenesis 
O43889	LIG_HCF-1_HBM_1	hsa04918	Thyroid hormone synthesis 
